Ranking,song,artist,is_in_features,spotify_id,popularity,duration_ms,album,release_date,spotify_uri
81,Me Jalo,Fuerza Regida & Grupo Frontera,False,3D24ErT1MMmUfXWotSj2A2,870,2120020,MALA MÍA,2024-12-19,spotify:track:3D24ErT1MMmUfXWotSj2A2
82,Headlock,Imogen Heap,True,63Pi2NAx5yCgeLhCTOrEou,870,2153380,Speak for Yourself (Deluxe Version),2005,spotify:track:63Pi2NAx5yCgeLhCTOrEou
83,LV Bag,"Don Toliver, j-hope, Pharrell Williams & Speedy",False,1MhXchY126AX5Iuv4Odbe8,830,1826030,LV Bag (feat. j-hope of BTS & Pharrell Williams),2025-02-21,spotify:track:1MhXchY126AX5Iuv4Odbe8
84,Voy A Llevarte Pa PR,Bad Bunny,False,59D4DOkspUbWyMmbAPQkxZ,930,1563640,DeBÍ TiRAR MáS FOToS,2025-01-05,spotify:track:59D4DOkspUbWyMmbAPQkxZ
85,Por Esos Ojos,Fuerza Regida,False,5jHozZMWbrExAFni95mvvH,860,1880640,Por Esos Ojos,2025-02-11,spotify:track:5jHozZMWbrExAFni95mvvH
86,Moth Balls,PARTYNEXTDOOR & Drake,False,7DL2F2bueQycqYjqsjHYjG,800,2126290,$ome $exy $ongs 4 U,2025-02-14,spotify:track:7DL2F2bueQycqYjqsjHYjG
87,Raining In Houston,Drake,False,2xxb5zW09uwbgyLprALi9E,770,2449310,$ome $exy $ongs 4 U,2025-02-14,spotify:track:2xxb5zW09uwbgyLprALi9E
88,The Largest,BigXthaPlug,True,3neOwym9kfYsM1QWaR77C1,750,1321600,TAKE CARE,2024-10-11,spotify:track:3neOwym9kfYsM1QWaR77C1
89,Little Things,Ella Mai,True,2HA4tNLIXY1dGvDVCLeslk,720,1729240,3,2024-11-03,spotify:track:2HA4tNLIXY1dGvDVCLeslk
90,Like I Do,Tate McRae,True,5KVot2VLi0sFVv7zyOCn0q,710,1820610,So Close To What,2025-02-24,spotify:track:5KVot2VLi0sFVv7zyOCn0q
91,Spider-Man Superman,PARTYNEXTDOOR & Drake,False,4GqhG9rDuRUoNyDSMJ0Brq,780,2038930,$ome $exy $ongs 4 U,2025-02-14,spotify:track:4GqhG9rDuRUoNyDSMJ0Brq
92,EOO,Bad Bunny,False,6J5kc12BW5HuP3d7C3vvx8,910,2047680,DeBÍ TiRAR MáS FOToS,2025-01-05,spotify:track:6J5kc12BW5HuP3d7C3vvx8
93,Backseat Driver,Kane Brown,True,68SYsp6XfIEnlDYMgMyxUv,670,2280660,Backseat Driver,2024-10-11,spotify:track:68SYsp6XfIEnlDYMgMyxUv
94,Pimmie's Dilemma,"Pimmie, PARTYNEXTDOOR & Drake",False,3CY3zAjrxKVInh2Lq1QiRb,780,1181530,$ome $exy $ongs 4 U,2025-02-14,spotify:track:3CY3zAjrxKVInh2Lq1QiRb
95,Hey Now,Kendrick Lamar Featuring Dody6,False,5S8VwnB4sLi6W0lYTWYylu,830,2174780,GNX,2024-11-22 00:00:00,spotify:track:5S8VwnB4sLi6W0lYTWYylu
96,No Pole,Don Toliver,True,0eaVIYo2zeOaGJeqZ5TwYz,870,1876130,Love Sick (Deluxe),2023-02-28,spotify:track:0eaVIYo2zeOaGJeqZ5TwYz
97,Small Town Fame,Drake,True,1YHQQFtKqFSFrqL4cNvstU,780,1485090,$ome $exy $ongs 4 U,2025-02-14,spotify:track:1YHQQFtKqFSFrqL4cNvstU
98,Que Pasaria...,Rauw Alejandro & Bad Bunny,False,0l0vcZMU7AOeQmUIREoI2U,900,1910180,Cosa Nuestra,2024-11-15,spotify:track:0l0vcZMU7AOeQmUIREoI2U
99,Greenlight,Tate McRae,True,0WPC7zoxtjUMCpm3u0Xw7C,700,1650940,So Close To What,2025-02-24,spotify:track:0WPC7zoxtjUMCpm3u0Xw7C
100,Weren't For The Wind,Ella Langley,False,2A22iI0x4EYAVXNpKPhNEM,730,1936660,still hungover,2024-11-01,spotify:track:2A22iI0x4EYAVXNpKPhNEM
